Customer ID,Cluster,Cluster_Name
12346,0,Standard
12347,3,Inactive
12348,3,Inactive
12349,3,Inactive
12350,1,Emerging
12351,1,Emerging
12352,3,Inactive
12353,3,Inactive
12354,1,Emerging
12355,3,Inactive
12356,3,Inactive
12357,3,Inactive
12358,3,Inactive
12359,0,Standard
12360,3,Inactive
12361,3,Inactive
12362,0,Standard
12363,1,Emerging
12364,1,Emerging
12365,1,Emerging
12366,1,Emerging
12367,1,Emerging
12368,1,Emerging
12369,1,Emerging
12370,3,Inactive
12371,3,Inactive
12372,3,Inactive
12373,3,Inactive
12374,3,Inactive
12375,1,Emerging
12376,1,Emerging
12377,3,Inactive
12378,3,Inactive
12379,3,Inactive
12380,3,Inactive
12381,1,Emerging
12383,1,Emerging
12384,1,Emerging
12385,1,Emerging
12386,1,Emerging
12387,1,Emerging
12388,3,Inactive
12389,1,Emerging
12390,1,Emerging
12391,3,Inactive
12392,1,Emerging
12393,3,Inactive
12394,3,Inactive
12395,3,Inactive
12396,1,Emerging
12397,1,Emerging
12398,1,Emerging
12399,3,Inactive
12400,1,Emerging
12401,1,Emerging
12402,1,Emerging
12403,3,Inactive
12404,1,Emerging
12405,1,Emerging
12406,3,Inactive
12407,3,Inactive
12408,3,Inactive
12409,3,Inactive
12410,1,Emerging
12411,1,Emerging
12412,3,Inactive
12413,3,Inactive
12414,1,Emerging
12415,0,Standard
12416,1,Emerging
12417,0,Standard
12418,3,Inactive
12419,1,Emerging
12420,1,Emerging
12421,3,Inactive
12422,3,Inactive
12423,3,Inactive
12424,3,Inactive
12425,3,Inactive
12426,3,Inactive
12427,3,Inactive
12428,0,Standard
12429,3,Inactive
12430,1,Emerging
12431,0,Standard
12432,1,Emerging
12433,0,Standard
12434,3,Inactive
12435,3,Inactive
12436,1,Emerging
12437,0,Standard
12438,3,Inactive
12439,1,Emerging
12440,3,Inactive
12441,1,Emerging
12442,1,Emerging
12443,1,Emerging
12444,1,Emerging
12445,3,Inactive
12446,1,Emerging
12447,1,Emerging
12448,1,Emerging
12449,3,Inactive
12450,3,Inactive
12451,0,Standard
12452,1,Emerging
12453,1,Emerging
12454,3,Inactive
12455,3,Inactive
12456,3,Inactive
12457,3,Inactive
12458,3,Inactive
12459,1,Emerging
12460,1,Emerging
12461,1,Emerging
12462,3,Inactive
12463,3,Inactive
12464,3,Inactive
12465,3,Inactive
12466,1,Emerging
12467,1,Emerging
12468,3,Inactive
12469,1,Emerging
12470,1,Emerging
12471,0,Standard
12472,0,Standard
12473,1,Emerging
12474,0,Standard
12475,3,Inactive
12476,0,Standard
12477,0,Standard
12478,1,Emerging
12479,1,Emerging
12480,3,Inactive
12481,0,Standard
12482,1,Emerging
12483,3,Inactive
12484,0,Standard
12485,1,Emerging
12486,1,Emerging
12487,1,Emerging
12488,1,Emerging
12489,1,Emerging
12490,0,Standard
12491,1,Emerging
12492,3,Inactive
12493,1,Emerging
12494,3,Inactive
12495,1,Emerging
12496,1,Emerging
12497,3,Inactive
12498,1,Emerging
12499,1,Emerging
12500,3,Inactive
12501,1,Emerging
12502,3,Inactive
12503,1,Emerging
12504,3,Inactive
12505,1,Emerging
12506,1,Emerging
12507,3,Inactive
12508,1,Emerging
12509,1,Emerging
12510,3,Inactive
12511,1,Emerging
12512,1,Emerging
12513,1,Emerging
12514,3,Inactive
12515,1,Emerging
12516,3,Inactive
12517,3,Inactive
12518,1,Emerging
12519,3,Inactive
12520,3,Inactive
12521,1,Emerging
12522,1,Emerging
12523,0,Standard
12524,0,Standard
12525,1,Emerging
12526,1,Emerging
12527,3,Inactive
12528,3,Inactive
12529,1,Emerging
12530,3,Inactive
12531,3,Inactive
12532,1,Emerging
12533,1,Emerging
12534,1,Emerging
12535,1,Emerging
12536,1,Emerging
12537,1,Emerging
12538,3,Inactive
12539,0,Standard
12540,0,Standard
12541,3,Inactive
12542,1,Emerging
12543,1,Emerging
12544,1,Emerging
12545,3,Inactive
12546,1,Emerging
12547,3,Inactive
12548,1,Emerging
12549,1,Emerging
12550,1,Emerging
12551,1,Emerging
12552,1,Emerging
12553,3,Inactive
12554,1,Emerging
12555,1,Emerging
12556,1,Emerging
12557,3,Inactive
12558,1,Emerging
12559,1,Emerging
12560,3,Inactive
12561,1,Emerging
12562,3,Inactive
12563,1,Emerging
12564,1,Emerging
12565,1,Emerging
12566,1,Emerging
12567,0,Standard
12568,1,Emerging
12569,0,Standard
12570,1,Emerging
12571,1,Emerging
12572,1,Emerging
12573,1,Emerging
12574,1,Emerging
12575,1,Emerging
12576,3,Inactive
12577,0,Standard
12578,3,Inactive
12579,1,Emerging
12580,3,Inactive
12581,1,Emerging
12582,3,Inactive
12583,0,Standard
12584,3,Inactive
12585,1,Emerging
12586,3,Inactive
12587,1,Emerging
12588,3,Inactive
12589,3,Inactive
12590,1,Emerging
12591,1,Emerging
12592,3,Inactive
12593,1,Emerging
12594,3,Inactive
12595,1,Emerging
12596,3,Inactive
12597,3,Inactive
12598,3,Inactive
12599,3,Inactive
12600,3,Inactive
12601,1,Emerging
12602,1,Emerging
12603,1,Emerging
12604,3,Inactive
12605,1,Emerging
12606,1,Emerging
12607,1,Emerging
12608,1,Emerging
12609,3,Inactive
12610,1,Emerging
12611,1,Emerging
12612,1,Emerging
12613,0,Standard
12614,1,Emerging
12615,3,Inactive
12616,3,Inactive
12617,1,Emerging
12618,1,Emerging
12619,3,Inactive
12620,3,Inactive
12621,0,Standard
12622,1,Emerging
12623,3,Inactive
12624,1,Emerging
12625,3,Inactive
12626,0,Standard
12627,1,Emerging
12628,1,Emerging
12629,1,Emerging
12630,1,Emerging
12631,3,Inactive
12632,1,Emerging
12633,3,Inactive
12634,1,Emerging
12635,3,Inactive
12636,1,Emerging
12637,0,Standard
12638,3,Inactive
12639,3,Inactive
12640,1,Emerging
12641,1,Emerging
12642,1,Emerging
12643,3,Inactive
12644,3,Inactive
12645,3,Inactive
12646,1,Emerging
12647,0,Standard
12648,3,Inactive
12649,3,Inactive
12650,1,Emerging
12651,1,Emerging
12652,1,Emerging
12653,3,Inactive
12654,3,Inactive
12655,1,Emerging
12656,3,Inactive
12657,1,Emerging
12658,1,Emerging
12659,1,Emerging
12660,1,Emerging
12661,1,Emerging
12662,0,Standard
12663,1,Emerging
12664,3,Inactive
12665,3,Inactive
12666,1,Emerging
12667,1,Emerging
12668,0,Standard
12669,1,Emerging
12670,3,Inactive
12671,1,Emerging
12672,3,Inactive
12673,3,Inactive
12674,1,Emerging
12675,1,Emerging
12676,3,Inactive
12677,1,Emerging
12678,0,Standard
12679,3,Inactive
12680,1,Emerging
12681,0,Standard
12682,0,Standard
12683,0,Standard
12684,1,Emerging
12685,1,Emerging
12686,1,Emerging
12687,1,Emerging
12688,1,Emerging
12689,1,Emerging
12690,1,Emerging
12691,3,Inactive
12692,1,Emerging
12693,3,Inactive
12694,3,Inactive
12695,3,Inactive
12696,1,Emerging
12697,1,Emerging
12698,1,Emerging
12699,1,Emerging
12700,3,Inactive
12701,3,Inactive
12702,1,Emerging
12703,3,Inactive
12704,1,Emerging
12705,0,Standard
12707,1,Emerging
12708,0,Standard
12709,0,Standard
12710,1,Emerging
12711,1,Emerging
12712,0,Standard
12713,1,Emerging
12714,0,Standard
12715,1,Emerging
12716,3,Inactive
12717,3,Inactive
12718,1,Emerging
12719,1,Emerging
12720,0,Standard
12721,3,Inactive
12722,1,Emerging
12723,1,Emerging
12724,3,Inactive
12725,1,Emerging
12726,3,Inactive
12727,3,Inactive
12728,3,Inactive
12729,1,Emerging
12730,1,Emerging
12731,0,Standard
12732,1,Emerging
12733,3,Inactive
12734,1,Emerging
12735,1,Emerging
12736,1,Emerging
12737,1,Emerging
12738,1,Emerging
12739,3,Inactive
12740,1,Emerging
12741,1,Emerging
12742,1,Emerging
12743,1,Emerging
12744,0,Standard
12745,1,Emerging
12746,1,Emerging
12747,0,Standard
12748,4,Frequent
12749,0,Standard
12750,1,Emerging
12751,1,Emerging
12752,1,Emerging
12753,3,Inactive
12754,1,Emerging
12755,3,Inactive
12756,1,Emerging
12757,0,Standard
12758,3,Inactive
12759,3,Inactive
12760,1,Emerging
12761,1,Emerging
12762,1,Emerging
12763,3,Inactive
12764,1,Emerging
12765,1,Emerging
12766,0,Standard
12767,1,Emerging
12768,1,Emerging
12769,1,Emerging
12770,3,Inactive
12771,1,Emerging
12772,1,Emerging
12773,1,Emerging
12774,1,Emerging
12775,3,Inactive
12776,1,Emerging
12777,1,Emerging
12778,3,Inactive
12779,3,Inactive
12780,1,Emerging
12781,3,Inactive
12782,3,Inactive
12783,1,Emerging
12784,3,Inactive
12785,3,Inactive
12786,1,Emerging
12787,3,Inactive
12788,1,Emerging
12789,3,Inactive
12790,3,Inactive
12791,1,Emerging
12792,3,Inactive
12793,1,Emerging
12794,1,Emerging
12795,1,Emerging
12796,1,Emerging
12797,1,Emerging
12798,3,Inactive
12799,1,Emerging
12800,1,Emerging
12801,1,Emerging
12802,3,Inactive
12803,1,Emerging
12804,1,Emerging
12805,1,Emerging
12806,1,Emerging
12807,1,Emerging
12808,3,Inactive
12809,3,Inactive
12810,1,Emerging
12811,1,Emerging
12812,1,Emerging
12813,1,Emerging
12814,1,Emerging
12815,1,Emerging
12816,1,Emerging
12817,1,Emerging
12818,1,Emerging
12819,1,Emerging
12820,3,Inactive
12821,3,Inactive
12822,1,Emerging
12823,3,Inactive
12824,1,Emerging
12825,1,Emerging
12826,3,Inactive
12827,1,Emerging
12828,1,Emerging
12829,1,Emerging
12830,1,Emerging
12831,1,Emerging
12832,1,Emerging
12833,1,Emerging
12834,1,Emerging
12835,0,Standard
12836,0,Standard
12837,3,Inactive
12838,0,Standard
12839,0,Standard
12840,3,Inactive
12841,0,Standard
12842,3,Inactive
12843,0,Standard
12844,3,Inactive
12845,1,Emerging
12846,1,Emerging
12847,3,Inactive
12848,1,Emerging
12849,3,Inactive
12850,1,Emerging
12851,3,Inactive
12852,1,Emerging
12853,3,Inactive
12854,3,Inactive
12855,1,Emerging
12856,1,Emerging
12857,3,Inactive
12858,1,Emerging
12859,1,Emerging
12860,1,Emerging
12861,1,Emerging
12862,1,Emerging
12863,3,Inactive
12864,3,Inactive
12865,3,Inactive
12866,1,Emerging
12867,0,Standard
12868,1,Emerging
12869,1,Emerging
12870,1,Emerging
12871,3,Inactive
12872,0,Standard
12873,3,Inactive
12874,1,Emerging
12875,3,Inactive
12876,3,Inactive
12877,0,Standard
12878,1,Emerging
12879,1,Emerging
12880,1,Emerging
12881,1,Emerging
12882,1,Emerging
12883,1,Emerging
12884,1,Emerging
12885,1,Emerging
12886,3,Inactive
12887,1,Emerging
12888,1,Emerging
12889,1,Emerging
12890,3,Inactive
12891,3,Inactive
12892,1,Emerging
12893,1,Emerging
12894,1,Emerging
12895,1,Emerging
12897,3,Inactive
12898,1,Emerging
12899,1,Emerging
12900,1,Emerging
12901,3,Inactive
12902,1,Emerging
12903,1,Emerging
12904,3,Inactive
12905,1,Emerging
12906,1,Emerging
12907,1,Emerging
12908,3,Inactive
12909,3,Inactive
12910,3,Inactive
12911,1,Emerging
12912,1,Emerging
12913,3,Inactive
12914,1,Emerging
12915,3,Inactive
12916,3,Inactive
12917,3,Inactive
12918,1,Emerging
12919,1,Emerging
12920,3,Inactive
12921,0,Standard
12922,1,Emerging
12923,3,Inactive
12924,3,Inactive
12925,3,Inactive
12926,3,Inactive
12927,1,Emerging
12928,3,Inactive
12929,1,Emerging
12930,1,Emerging
12931,0,Standard
12932,1,Emerging
12933,3,Inactive
12934,1,Emerging
12935,3,Inactive
12936,1,Emerging
12937,3,Inactive
12938,1,Emerging
12939,3,Inactive
12940,1,Emerging
12941,1,Emerging
12942,3,Inactive
12943,1,Emerging
12944,3,Inactive
12945,3,Inactive
12946,1,Emerging
12947,1,Emerging
12948,3,Inactive
12949,0,Standard
12950,1,Emerging
12951,3,Inactive
12952,1,Emerging
12953,3,Inactive
12954,1,Emerging
12955,3,Inactive
12956,3,Inactive
12957,0,Standard
12958,1,Emerging
12959,1,Emerging
12960,1,Emerging
12961,1,Emerging
12962,1,Emerging
12963,3,Inactive
12964,1,Emerging
12965,1,Emerging
12966,1,Emerging
12967,1,Emerging
12968,1,Emerging
12969,1,Emerging
12970,0,Standard
12971,0,Standard
12972,1,Emerging
12973,1,Emerging
12974,3,Inactive
12975,1,Emerging
12976,3,Inactive
12977,3,Inactive
12978,3,Inactive
12979,1,Emerging
12980,3,Inactive
12981,1,Emerging
12982,3,Inactive
12983,1,Emerging
12984,1,Emerging
12985,1,Emerging
12986,1,Emerging
12987,3,Inactive
12988,1,Emerging
12989,0,Standard
12990,3,Inactive
12991,3,Inactive
12992,1,Emerging
12993,3,Inactive
12994,3,Inactive
12995,1,Emerging
12996,1,Emerging
12997,3,Inactive
12998,1,Emerging
12999,1,Emerging
13000,3,Inactive
13001,0,Standard
13002,1,Emerging
13003,1,Emerging
13004,0,Standard
13005,3,Inactive
13006,1,Emerging
13007,1,Emerging
13008,3,Inactive
13009,1,Emerging
13010,3,Inactive
13011,1,Emerging
13012,3,Inactive
13013,0,Standard
13014,3,Inactive
13015,0,Standard
13016,1,Emerging
13017,1,Emerging
13018,0,Standard
13019,1,Emerging
13020,1,Emerging
13021,0,Standard
13022,1,Emerging
13023,3,Inactive
13024,1,Emerging
13025,1,Emerging
13026,3,Inactive
13027,3,Inactive
13028,1,Emerging
13029,3,Inactive
13030,3,Inactive
13031,1,Emerging
13032,3,Inactive
13033,1,Emerging
13034,3,Inactive
13035,3,Inactive
13036,1,Emerging
13037,3,Inactive
13038,3,Inactive
13039,1,Emerging
13040,1,Emerging
13041,1,Emerging
13042,1,Emerging
13043,1,Emerging
13044,0,Standard
13045,3,Inactive
13046,3,Inactive
13047,0,Standard
13048,3,Inactive
13049,3,Inactive
13050,0,Standard
13051,1,Emerging
13052,3,Inactive
13053,1,Emerging
13055,3,Inactive
13056,1,Emerging
13057,1,Emerging
13058,1,Emerging
13059,3,Inactive
13060,1,Emerging
13061,1,Emerging
13062,1,Emerging
13063,1,Emerging
13064,3,Inactive
13065,1,Emerging
13066,1,Emerging
13067,3,Inactive
13068,3,Inactive
13069,0,Standard
13070,3,Inactive
13071,1,Emerging
13072,1,Emerging
13073,1,Emerging
13074,1,Emerging
13075,1,Emerging
13076,1,Emerging
13077,0,Standard
13078,0,Standard
13079,3,Inactive
13080,3,Inactive
13081,0,Standard
13082,3,Inactive
13083,3,Inactive
13084,1,Emerging
13085,3,Inactive
13086,1,Emerging
13087,1,Emerging
13088,1,Emerging
13089,4,Frequent
13090,0,Standard
13091,3,Inactive
13092,3,Inactive
13093,0,Standard
13094,3,Inactive
13095,1,Emerging
13096,1,Emerging
13097,0,Standard
13098,0,Standard
13099,1,Emerging
13101,3,Inactive
13102,0,Standard
13103,3,Inactive
13104,3,Inactive
13105,1,Emerging
13106,3,Inactive
13107,3,Inactive
13108,1,Emerging
13109,3,Inactive
13110,3,Inactive
13111,1,Emerging
13112,1,Emerging
13113,0,Standard
13114,1,Emerging
13115,3,Inactive
13116,1,Emerging
13117,3,Inactive
13118,3,Inactive
13119,1,Emerging
13120,1,Emerging
13121,1,Emerging
13122,3,Inactive
13123,1,Emerging
13124,3,Inactive
13125,1,Emerging
13126,0,Standard
13127,1,Emerging
13128,1,Emerging
13129,1,Emerging
13130,1,Emerging
13131,3,Inactive
13132,1,Emerging
13133,1,Emerging
13134,3,Inactive
13135,3,Inactive
13136,0,Standard
13137,0,Standard
13138,3,Inactive
13139,3,Inactive
13140,3,Inactive
13141,0,Standard
13142,1,Emerging
13143,1,Emerging
13144,1,Emerging
13145,3,Inactive
13146,1,Emerging
13147,1,Emerging
13148,0,Standard
13149,3,Inactive
13150,1,Emerging
13151,3,Inactive
13152,1,Emerging
13153,1,Emerging
13154,3,Inactive
13155,3,Inactive
13156,3,Inactive
13157,3,Inactive
13158,3,Inactive
13159,1,Emerging
13160,1,Emerging
13161,1,Emerging
13162,0,Standard
13163,1,Emerging
13164,1,Emerging
13165,3,Inactive
13166,1,Emerging
13167,3,Inactive
13168,3,Inactive
13169,3,Inactive
13170,1,Emerging
13171,3,Inactive
13172,1,Emerging
13173,3,Inactive
13174,0,Standard
13175,1,Emerging
13176,1,Emerging
13177,3,Inactive
13178,0,Standard
13179,1,Emerging
13180,1,Emerging
13181,1,Emerging
13182,1,Emerging
13183,3,Inactive
13184,3,Inactive
13185,1,Emerging
13186,1,Emerging
13187,1,Emerging
13188,1,Emerging
13189,1,Emerging
