Customer ID,Recency,Frequency,Monetary_Total,Monetary_Avg,Monetary_Std,Transaction_Count,R_Score,F_Score,M_Score,RFM_Segment,Rule_Segment,FirstPurchaseDate,LastPurchaseDate,CustomerLifespan_Days,UniqueProdCategories,Country,MaxTransactionAmount,AvgDaysBetweenPurchases
12346,325,12,77556.46,2281.0723529411766,13234.943417912516,34,2,5,5,255,At_Risk_HighValue,2009-12-14 08:34:00,2011-01-18 10:01:00,400,27,United Kingdom,77183.6,33.333333333333336
12347,1,8,5633.32,22.26608695652174,20.609092694507954,253,5,4,5,545,Champions,2010-10-31 14:20:00,2011-12-07 15:52:00,402,126,Iceland,249.6,50.25
12348,74,5,2019.3999999999999,39.59607843137255,44.20554915747258,51,3,4,4,344,Standard,2010-09-27 14:59:00,2011-09-25 13:13:00,362,25,Finland,240.0,72.4
12349,18,4,4428.6900000000005,25.306800000000003,33.76140302962446,175,5,3,5,535,Loyal,2010-04-29 13:20:00,2011-11-21 09:51:00,570,138,Italy,300.0,142.5
12350,309,1,334.40000000000003,19.67058823529412,7.275538185065965,17,2,1,2,212,Dormant,2011-02-02 16:01:00,2011-02-02 16:01:00,0,17,Norway,40.0,0.0
12351,374,1,300.93,14.33,4.014716677425693,21,2,1,2,212,Dormant,2010-11-29 15:23:00,2010-11-29 15:23:00,0,21,Unspecified,23.4,0.0
12352,35,10,2849.84,27.668349514563108,47.1512621230674,103,4,5,4,454,Champions,2010-11-12 10:20:00,2011-11-03 14:37:00,356,70,Norway,376.5,35.6
12353,203,2,406.76,16.948333333333334,8.799588758506875,24,2,2,2,222,Dormant,2010-10-27 12:44:00,2011-05-19 17:47:00,204,23,Bahrain,39.8,102.0
12354,231,1,1079.4,18.610344827586207,8.679742086377074,58,2,1,3,213,Dormant,2011-04-21 13:11:00,2011-04-21 13:11:00,0,58,Spain,54.08,0.0
12355,213,2,947.61,27.074571428571428,22.11047493874355,35,2,2,3,223,Dormant,2010-05-21 11:59:00,2011-05-09 13:49:00,353,35,Bahrain,120.0,176.5
12356,22,6,6373.68,44.57118881118881,59.89198990024108,143,4,4,5,445,Champions,2010-10-11 09:42:00,2011-11-17 08:40:00,401,104,Portugal,424.5,66.83333333333333
12357,32,3,18287.66,61.78263513513514,79.29144301502787,296,4,3,5,435,Loyal,2010-11-16 10:05:00,2011-11-06 16:07:00,355,261,Switzerland,850.0,118.33333333333333
12358,1,5,3887.07,50.48142857142857,67.27612726107324,77,5,4,5,545,Champions,2009-12-08 07:59:00,2011-12-08 10:26:00,730,56,Austria,297.0,146.0
12359,57,10,8935.94,24.482027397260275,27.328705629298913,365,4,5,5,455,Champions,2009-12-05 13:32:00,2011-10-13 12:47:00,676,305,Cyprus,290.0,67.6
12360,51,8,4252.89,19.59857142857143,20.009866392415713,217,4,4,5,445,Champions,2010-02-22 09:32:00,2011-10-18 15:22:00,603,160,Austria,160.0,75.375
12361,286,4,511.25,17.629310344827587,3.8385617945066755,29,2,3,2,232,Standard,2010-01-26 14:37:00,2011-02-25 13:51:00,394,18,Belgium,33.0,98.5
12362,2,11,5356.2300000000005,20.060786516853934,11.775568076080406,267,5,5,5,555,Champions,2009-12-01 10:10:00,2011-12-06 15:40:00,735,201,Belgium,130.0,66.81818181818181
12363,109,2,552.0,24.0,15.751238912311859,23,3,2,2,322,Standard,2011-04-11 13:29:00,2011-08-22 10:18:00,132,23,Unspecified,69.36,66.0
12364,7,4,1313.1,15.448235294117646,8.910810071730502,85,5,3,4,534,Loyal,2011-08-19 15:24:00,2011-12-02 10:22:00,104,70,Belgium,64.8,26.0
12365,290,2,641.38,29.153636363636362,65.1966351414414,22,2,2,3,223,Dormant,2011-02-21 13:51:00,2011-02-21 14:04:00,0,22,Cyprus,320.69,0.0
12366,633,1,500.24,166.74666666666667,7.80577563944373,3,1,1,2,112,Dormant,2010-03-16 10:28:00,2010-03-16 10:28:00,0,3,Cyprus,175.76,0.0
12367,3,1,168.9,15.354545454545455,5.648958069655612,11,5,1,1,511,Standard,2011-12-05 16:48:00,2011-12-05 16:48:00,0,11,Denmark,23.4,0.0
12368,627,1,917.7,50.983333333333334,29.271814389392723,18,1,1,3,113,Dormant,2010-03-21 15:56:00,2010-03-21 15:56:00,0,18,Cyprus,119.4,0.0
12369,412,3,1791.15,19.25967741935484,24.548899224928196,93,1,3,4,134,Standard,2010-03-08 08:09:00,2010-10-22 13:13:00,228,90,Austria,200.0,76.0
12370,50,7,4320.31,21.387673267326736,21.729672333781526,202,4,4,5,445,Champions,2010-02-09 09:41:00,2011-10-19 14:51:00,617,168,Cyprus,163.2,88.14285714285714
12371,44,5,4067.38,24.35556886227545,33.320323813581346,167,4,4,5,445,Champions,2010-03-04 18:23:00,2011-10-26 10:16:00,600,134,Switzerland,360.0,120.0
12372,71,3,1298.04,24.962307692307693,16.38258168926466,52,3,3,4,334,Standard,2011-02-16 12:46:00,2011-09-29 12:12:00,224,34,Denmark,70.80000000000001,74.66666666666667
12373,310,3,1127.65,22.110784313725492,15.199579973556805,51,2,3,3,233,Standard,2010-02-04 12:08:00,2011-02-01 13:10:00,362,36,Austria,80.0,120.66666666666667
12374,24,4,2989.2200000000003,36.01469879518073,28.829568000001416,83,4,3,5,435,Loyal,2010-04-30 14:01:00,2011-11-14 15:37:00,563,79,Austria,200.0,140.75
12375,10,2,457.5,26.91176470588235,14.672205115154863,17,5,2,2,522,Standard,2011-09-02 14:23:00,2011-11-29 10:36:00,87,14,Finland,62.400000000000006,43.5
12376,389,2,503.15,38.70384615384615,30.96811842806015,13,2,2,2,222,Dormant,2010-10-18 08:42:00,2010-11-15 12:15:00,28,11,Switzerland,100.8,14.0
12377,314,4,3426.32,22.54157894736842,15.27969332002416,152,2,3,5,235,At_Risk_HighValue,2010-04-29 15:34:00,2011-01-28 15:45:00,274,129,Switzerland,80.0,68.5
12378,129,2,5416.32,17.994418604651162,8.561977696625902,301,3,2,5,325,Standard,2010-05-26 14:07:00,2011-08-02 10:34:00,432,281,Switzerland,69.36,216.0
12379,81,4,1620.22,20.002716049382716,10.28763420475593,81,3,3,4,334,Standard,2010-06-23 12:49:00,2011-09-19 10:09:00,452,58,Belgium,76.19999999999999,113.0
12380,21,11,9676.300000000001,34.93249097472925,93.69673130466374,277,4,5,5,455,Champions,2010-02-15 12:05:00,2011-11-18 11:27:00,640,156,Belgium,1508.65,58.18181818181818
12381,4,5,1845.31,21.21045977011494,25.892950235134975,87,5,4,4,544,Champions,2011-08-12 09:57:00,2011-12-05 12:44:00,115,70,Norway,240.0,23.0
12383,184,5,1850.56,18.69252525252525,12.680055152091024,99,3,4,4,344,Standard,2010-12-22 14:28:00,2011-06-08 08:02:00,167,84,Belgium,72.0,33.4
12384,28,2,585.27,21.676666666666666,17.295302608156128,27,4,2,2,422,Standard,2011-08-10 11:23:00,2011-11-11 08:39:00,92,26,Switzerland,80.0,46.0
12385,378,1,1938.4,29.821538461538463,34.521105375496795,65,2,1,4,214,Dormant,2010-11-25 15:14:00,2010-11-25 15:14:00,0,65,Belgium,270.0,0.0
12386,337,2,660.8000000000001,36.711111111111116,20.538969814617083,18,2,2,3,223,Dormant,2010-12-08 09:53:00,2011-01-06 12:37:00,29,10,Australia,75.0,14.5
12387,414,1,143.94,15.993333333333332,7.73424850906667,9,1,1,1,111,Dormant,2010-10-20 16:27:00,2010-10-20 16:27:00,0,9,Australia,33.9,0.0
12388,15,8,3901.11,26.719931506849317,16.813294759949088,146,5,4,5,545,Champions,2010-05-06 12:54:00,2011-11-24 12:30:00,566,83,Australia,81.36,70.75
12389,402,3,1433.33,29.251632653061222,31.130745142258405,49,2,3,4,234,Standard,2010-02-22 10:15:00,2010-11-02 11:52:00,253,41,Australia,204.0,84.33333333333333
12390,79,1,549.84,17.1825,7.172142344268664,32,3,1,2,312,Standard,2011-09-21 09:33:00,2011-09-21 09:33:00,0,32,Belgium,45.0,0.0
12391,21,6,2773.42,9.86982206405694,14.257287295963929,281,4,4,4,444,Champions,2010-02-15 10:12:00,2011-11-18 12:07:00,641,241,Cyprus,151.20000000000002,106.83333333333333
12392,590,1,234.75000000000003,33.53571428571429,25.706560678254146,7,1,1,1,111,Dormant,2010-04-27 14:04:00,2010-04-27 14:04:00,0,7,Australia,70.80000000000001,0.0
12393,71,6,2399.45,22.424766355140186,15.449982252282314,107,3,4,4,344,Standard,2010-10-07 13:49:00,2011-09-28 15:41:00,356,63,Australia,141.60000000000002,59.333333333333336
12394,63,2,1272.48,47.12888888888889,64.92458923381407,27,3,2,4,324,Standard,2011-05-06 14:01:00,2011-10-07 08:08:00,153,26,Belgium,266.24,76.5
12395,18,15,5067.27,19.94988188976378,12.639673329767193,254,5,5,5,555,Champions,2010-04-16 10:16:00,2011-11-20 15:21:00,583,145,Belgium,90.0,38.86666666666667
12396,673,1,931.4300000000001,14.329692307692309,3.5209391366290546,65,1,1,3,113,Dormant,2010-02-03 13:22:00,2010-02-03 13:22:00,0,65,RSA,19.9,0.0
12397,35,2,2409.9,19.126190476190477,15.703009487720134,126,4,2,4,424,Standard,2011-07-27 14:21:00,2011-11-04 09:52:00,99,110,Belgium,127.5,49.5
12398,45,1,1635.6599999999999,19.24305882352941,22.43008874276701,85,4,1,4,414,Standard,2011-10-25 10:27:00,2011-10-25 10:27:00,0,85,Switzerland,200.0,0.0
12399,118,7,1962.3,17.83909090909091,9.392297795617853,110,3,4,4,344,Standard,2010-03-05 08:45:00,2011-08-12 13:15:00,525,67,Belgium,70.2,75.0
12400,413,1,205.25,18.65909090909091,5.161628530891107,11,1,1,1,111,Dormant,2010-10-21 13:45:00,2010-10-21 13:45:00,0,11,Australia,29.700000000000003,0.0
12401,302,1,84.3,16.86,5.419340365764086,5,2,1,1,211,Dormant,2011-02-09 13:50:00,2011-02-09 13:50:00,0,5,Belgium,25.5,0.0
12402,322,6,1256.9,17.955714285714286,5.5016436467418535,70,2,4,4,244,Standard,2010-02-07 12:41:00,2011-01-20 13:49:00,347,43,Belgium,35.400000000000006,57.833333333333336
12403,49,2,1019.36,113.26222222222222,88.75684055014827,9,4,2,3,423,Standard,2010-07-06 11:39:00,2011-10-21 10:51:00,471,5,Denmark,244.08,235.5
12404,681,1,63.24,63.24,0.0,1,1,1,1,111,Dormant,2010-01-26 16:25:00,2010-01-26 16:25:00,0,1,Finland,63.24,0.0
12405,148,1,1710.39,31.67388888888889,42.769103308331616,54,3,1,4,314,Standard,2011-07-14 08:52:00,2011-07-14 08:52:00,0,54,Finland,320.0,0.0
12406,21,5,6390.36,38.49614457831325,33.516541599681986,166,4,4,5,445,Champions,2010-01-11 14:04:00,2011-11-17 19:22:00,675,114,Denmark,290.0,135.0
12407,49,5,1708.12,22.18337662337662,16.695276404955607,77,4,4,4,444,Champions,2011-03-20 13:21:00,2011-10-21 10:11:00,214,57,Belgium,90.0,42.8
12408,32,8,4340.77,27.30044025157233,25.34464346438114,159,4,4,5,445,Champions,2010-07-29 13:27:00,2011-11-07 12:27:00,465,104,Belgium,139.8,58.125
12409,78,7,23419.29,88.70943181818183,53.63124365399015,264,3,4,5,345,Standard,2010-05-23 15:21:00,2011-09-22 10:38:00,486,177,Switzerland,300.0,69.42857142857143
12410,308,3,1013.71,25.342750000000002,24.88181613738981,40,2,3,3,233,Standard,2010-07-25 13:26:00,2011-02-04 10:39:00,193,36,Switzerland,160.0,64.33333333333333
12411,409,1,346.9,15.768181818181818,10.704444398011972,22,2,1,2,212,Dormant,2010-10-26 09:25:00,2010-10-26 09:25:00,0,22,Australia,59.7,0.0
12412,74,6,2596.93,20.448267716535433,14.38937648772652,127,3,4,4,344,Standard,2010-06-18 13:22:00,2011-09-26 10:16:00,464,82,Denmark,88.5,77.33333333333333
12413,66,4,999.45,19.597058823529412,10.631906751682438,51,3,3,3,333,Standard,2010-11-02 13:26:00,2011-10-04 09:00:00,335,41,France,56.0,83.75
12414,216,6,952.4100000000001,34.01464285714286,32.04963378564022,28,2,4,3,243,Standard,2010-09-02 12:22:00,2011-05-06 14:51:00,246,21,Austria,130.0,41.0
12415,23,28,144458.37,156.00255939524837,172.17613709798167,926,4,5,5,455,Champions,2010-06-30 08:30:00,2011-11-15 14:22:00,503,498,Australia,1718.4,17.964285714285715
12416,656,1,202.56,18.414545454545454,6.88728155898445,11,1,1,1,111,Dormant,2010-02-21 10:19:00,2010-02-21 10:19:00,0,11,Australia,25.200000000000003,0.0
12417,2,20,6816.91,18.42408108108108,9.867948518354142,370,5,5,5,555,Champions,2009-12-06 10:30:00,2011-12-06 14:52:00,730,270,Belgium,84.0,36.5
12418,112,4,2021.2,19.815686274509805,17.97466674444534,102,3,3,4,334,Standard,2010-03-19 14:47:00,2011-08-19 11:08:00,517,90,Switzerland,99.0,129.25
12419,385,2,503.01,20.1204,17.157376567140638,25,2,2,2,222,Dormant,2010-10-22 10:40:00,2010-11-19 10:04:00,27,23,Spain,84.0,13.5
12420,63,1,600.39,20.70310344827586,9.201862041164851,29,3,1,2,312,Standard,2011-10-07 08:55:00,2011-10-07 08:55:00,0,29,Cyprus,39.8,0.0
12421,15,6,1098.6,16.90153846153846,10.261060531015001,65,5,4,3,543,Loyal,2010-07-22 13:57:00,2011-11-24 09:07:00,489,44,Spain,56.0,81.5
12422,95,17,5231.8,30.417441860465118,61.04455699279744,172,3,5,5,355,Standard,2009-12-18 12:44:00,2011-09-05 09:48:00,625,137,Switzerland,662.25,36.76470588235294
12423,0,10,2622.39,15.893272727272727,8.625448250185594,165,5,5,4,554,Champions,2010-08-31 09:31:00,2011-12-09 10:10:00,465,128,Belgium,60.0,46.5
12424,162,4,3340.0299999999997,36.30467391304347,40.860327018617006,92,3,3,5,335,Standard,2010-06-09 15:15:00,2011-06-30 12:06:00,385,78,Australia,306.0,96.25
12425,77,2,1741.41,19.136373626373626,11.410034717688298,91,3,2,4,324,Standard,2010-09-17 14:10:00,2011-09-22 17:31:00,370,87,Portugal,70.80000000000001,185.0
12426,194,2,1345.21,17.470259740259742,10.276329594346771,77,2,2,4,224,Dormant,2010-02-15 08:41:00,2011-05-29 12:26:00,468,73,Germany,72.0,234.0
12427,21,3,1129.3,27.54390243902439,18.362154541072897,41,4,3,3,433,Loyal,2010-12-03 10:44:00,2011-11-18 08:56:00,349,26,Germany,68.0,116.33333333333333
12428,25,9,7956.46,27.062789115646257,43.42766763742172,294,4,5,5,455,Champions,2011-03-01 09:33:00,2011-11-14 08:22:00,257,258,Finland,551.2,28.555555555555557
12429,8,8,7485.91,43.27115606936416,39.93362898907546,173,5,4,5,545,Champions,2010-06-11 13:28:00,2011-11-30 17:22:00,537,124,Denmark,252.0,67.125
12430,42,1,256.4,23.30909090909091,14.033241574593843,11,4,1,1,411,Standard,2011-10-27 15:09:00,2011-10-27 15:09:00,0,11,Norway,47.8,0.0
12431,35,27,10857.970000000001,26.809802469135807,42.21353316928296,405,4,5,5,455,Champions,2010-01-15 09:04:00,2011-11-04 11:55:00,658,244,Australia,601.44,24.37037037037037
12432,42,5,5059.32,46.845555555555556,75.6796474737069,108,4,4,5,445,Champions,2011-06-20 13:27:00,2011-10-28 11:43:00,129,107,Norway,700.0,25.8
12433,0,10,20581.260000000002,29.15192634560907,24.84943202056984,706,5,5,5,555,Champions,2010-08-20 09:23:00,2011-12-09 10:02:00,476,285,Norway,203.52,47.6
12434,84,3,1103.43,15.763285714285715,7.414088570921858,70,3,3,3,333,Standard,2010-11-23 13:38:00,2011-09-16 12:38:00,296,62,Australia,47.6,98.66666666666667
12435,79,6,13925.93,124.33866071428572,138.95051116871076,112,3,4,5,345,Standard,2009-12-02 13:58:00,2011-09-21 09:06:00,657,88,Denmark,1008.0,109.5
12436,99,1,509.01,31.813125,18.84557161731459,16,3,1,2,312,Standard,2011-09-01 12:09:00,2011-09-01 12:09:00,0,16,Norway,80.0,0.0
12437,1,39,12683.4,22.52824156305506,17.36155481782761,563,5,5,5,555,Champions,2009-12-02 16:24:00,2011-12-08 11:35:00,735,273,France,234.0,18.846153846153847
12438,13,2,2906.85,29.66173469387755,40.54791789245686,98,5,2,4,524,Standard,2011-07-22 13:29:00,2011-11-25 13:28:00,125,84,Norway,320.0,62.5
12439,682,2,1158.18,16.085833333333333,4.785666318567987,72,1,2,3,123,Dormant,2009-12-14 08:40:00,2010-01-26 12:11:00,43,69,Cyprus,35.400000000000006,21.5
12440,461,2,859.2,26.85,16.40073975514913,32,1,2,3,123,Dormant,2009-12-22 12:03:00,2010-09-03 13:11:00,255,21,Austria,80.0,127.5
12441,366,1,347.1,15.77727272727273,3.9075850316046585,22,2,1,2,212,Dormant,2010-12-08 10:45:00,2010-12-08 10:45:00,0,11,France,23.25,0.0
12442,2,1,172.06,14.338333333333333,8.012192791822558,12,5,1,1,511,Standard,2011-12-06 14:22:00,2011-12-06 14:22:00,0,12,Spain,30.0,0.0
12443,731,1,485.31,23.11,23.904962037200562,21,1,1,2,112,Dormant,2009-12-07 15:42:00,2009-12-07 15:42:00,0,21,Norway,120.0,0.0
12444,20,5,5005.46,28.440113636363638,36.38456452930298,176,4,4,5,445,Champions,2011-06-21 14:00:00,2011-11-18 13:23:00,149,138,Norway,320.0,29.8
12445,21,2,434.98,18.124166666666667,10.327481664773455,24,4,2,2,422,Standard,2010-10-15 12:28:00,2011-11-17 18:43:00,398,24,Spain,56.0,199.0
12446,57,1,1002.3100000000001,17.584385964912283,6.119333243775087,57,4,1,3,413,Standard,2011-10-13 12:50:00,2011-10-13 12:50:00,0,57,RSA,38.25,0.0
12447,242,1,476.49,18.326538461538462,7.176101973805942,26,2,1,2,212,Dormant,2011-04-10 13:25:00,2011-04-10 13:25:00,0,26,Belgium,45.0,0.0
12448,43,1,449.45,20.429545454545455,19.12305152907218,22,4,1,2,412,Standard,2011-10-26 13:46:00,2011-10-26 13:46:00,0,22,Spain,84.0,0.0
12449,21,6,4835.89,24.05915422885572,24.06439593634328,201,4,4,5,445,Champions,2010-09-27 09:37:00,2011-11-17 13:46:00,416,125,Belgium,165.0,69.33333333333333
12450,155,5,688.2,18.6,10.1567954810779,37,3,4,3,343,Standard,2010-08-22 13:11:00,2011-07-06 14:41:00,318,31,Spain,66.0,63.6
12451,10,8,12669.88,24.794285714285714,19.64104851811013,511,5,4,5,545,Champions,2010-06-28 12:58:00,2011-11-29 08:40:00,518,352,Switzerland,244.8,64.75
12452,16,2,430.57000000000005,19.57136363636364,16.023037669155816,22,5,2,2,522,Standard,2011-11-23 08:05:00,2011-11-23 10:28:00,0,21,Switzerland,80.0,0.0
12453,133,1,707.09,16.443953488372095,5.037722056802528,43,3,1,3,313,Standard,2011-07-28 14:08:00,2011-07-28 14:08:00,0,43,Austria,30.0,0.0
12454,55,5,16679.78,416.99449999999996,221.6678753306165,40,4,4,5,445,Champions,2010-10-14 17:33:00,2011-10-14 17:13:00,364,24,Spain,950.4,72.8
12455,72,10,5879.95,25.902863436123347,32.364456484457826,227,3,5,5,355,Standard,2009-12-18 12:33:00,2011-09-27 15:31:00,648,199,Cyprus,350.4,64.8
12456,43,3,3181.04,25.44832,34.238720340309676,125,4,3,5,435,Loyal,2011-03-30 09:12:00,2011-10-26 14:41:00,210,105,Switzerland,280.0,70.0
12457,65,8,2995.91,35.665595238095236,41.805798132229796,84,3,4,5,345,Standard,2010-09-30 17:59:00,2011-10-04 13:13:00,368,63,Switzerland,196.35,46.0
12458,70,4,1777.49,21.160595238095237,15.245058638602702,84,3,3,4,334,Standard,2010-08-09 10:33:00,2011-09-29 15:25:00,416,71,Switzerland,80.0,104.0
12459,604,1,454.36,19.754782608695653,9.623899167066622,23,1,1,2,112,Dormant,2010-04-13 14:53:00,2010-04-13 14:53:00,0,23,Spain,56.0,0.0
12460,455,1,326.65,18.147222222222222,4.924920788321557,18,1,1,2,112,Dormant,2010-09-09 13:51:00,2010-09-09 13:51:00,0,18,Belgium,30.0,0.0
12461,93,2,826.88,23.62514285714286,32.83688746905623,35,3,2,3,323,Standard,2011-07-08 10:23:00,2011-09-06 16:57:00,60,35,Switzerland,200.0,30.0
12462,18,2,1189.59,19.186935483870965,21.327398878292733,62,5,2,3,523,Standard,2011-02-09 14:44:00,2011-11-21 09:11:00,284,51,Spain,168.0,142.0
12463,52,4,1344.78,16.202168674698793,7.328468719731287,83,4,3,4,434,Loyal,2011-04-12 12:47:00,2011-10-17 13:44:00,188,65,Belgium,36.0,47.0
12464,9,8,1212.05,41.79482758620689,26.566101335118464,29,5,4,3,543,Loyal,2011-02-03 13:30:00,2011-11-29 13:33:00,299,6,Belgium,119.6,37.375
12465,16,2,742.19,15.791276595744682,6.353031668294546,47,5,2,3,523,Standard,2011-06-23 13:37:00,2011-11-22 16:34:00,152,46,Belgium,40.8,76.0
12466,681,1,56.73,56.73,0.0,1,1,1,1,111,Dormant,2010-01-26 16:26:00,2010-01-26 16:26:00,0,1,France,56.73,0.0
12467,422,1,132.8,14.755555555555556,4.604375937928807,9,1,1,1,111,Dormant,2010-10-12 15:41:00,2010-10-12 15:41:00,0,9,USA,23.4,0.0
12468,187,5,3670.7400000000002,24.471600000000002,29.66389372134767,150,3,4,5,345,Standard,2010-01-26 10:09:00,2011-06-05 11:36:00,495,127,Germany,270.0,99.0
12469,522,2,3070.54,40.40184210526316,68.99477421197496,76,1,2,5,125,At_Risk_HighValue,2010-06-21 10:30:00,2010-07-05 12:40:00,14,76,Thailand,360.0,7.0
12470,689,1,211.95,9.215217391304348,4.907888705085107,23,1,1,1,111,Dormant,2010-01-19 11:01:00,2010-01-19 11:01:00,0,23,Unspecified,20.65,0.0
